;;;;;Energia;Macronutrientes;;;A.G. Saturados;A.G. Insaturados;;;Fibra   ;;;Macrominerales;;;;;Oligoelementos;;;;;Vit. Liposolubles;;;;Vit. Hidrosolubles;;;;;;;;Verificacion;;;;;;;
Grupo alimentario;#;Alimento;Cantidad(g/mL);Medida casera;Kcal;CHO(g);Proteina(g);Grasa(g);A.G.S(g);A.G.M(g);A.G.P(g);Colesterol (mg);Fibra soluble;Fibra insoluble;Fibra total;Calcio(Ca)(mg);Fosforo(P)(mg);Sodio(Na)(mg);Potasio(K)(mg);Magnesio(Mg)(mg);Hierro(Fe)(mg);Zinc(Zn) (mg);Cobre(Cu)(mg);Manganeso(Mn)(mg);Selenio(Se)(mcg);Vit. E(mg);Vit.K(mcg);Vit.D(UI);Vit.A(ER); Vit.B1(mg);Vit.B2(mg);Vit.B3(mg);Vit.B5(mg);Vit.B6(mg);Vit.B9(mcg);Vit.B12(mcg);Vit.C(mg);Aprobado;;;;;;;
C7;35;T-Bone steak, grasa aprox.15%;50;1,5 onzas;150;0,0;9,6;8,0;3,2;3,5;0,3;28,5;0,0;0,0;0,0;3,0;86,5;27,0;154,5;10,0;1,1;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;1,8;0,2;0,2;3,0;1,4;0,0;;;;;;;;
C8;36;Carne molida res grasa aprox.17%;65;1/8 libra;150;0,0;12,2;11,1;4,4;4,8;0,5;44,9;0,0;0,0;0,0;4,6;91,7;42,9;184,6;13,0;1,3;2,7;0,1;0,0;0,0;0,0;2,6;0,0;0,0;0,0;0,2;2,9;0,3;0,2;5,2;1,3;0,0;;;;;;;;
C9;37;Carne molida res grasa aprox.21%;55;3 cucharadas aprox.;150;0,0;9,7;11,4;4,6;5,0;0,5;41,3;0,0;0,0;0,0;4,4;74,8;38,0;143,6;9,9;1,0;212,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;2,5;0,2;0,1;4,4;1,3;0,0;;;;;;;;
C10;38;Carne molida res grasa aprox.27%;50;1,5 onzas;150;0,0;8,3;13,3;5,4;5,8;0,5;42,5;0,0;0,0;0,0;4,0;65,0;34,0;114,0;8,0;0,9;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;2,3;0,2;0,1;3,5;1,3;0,0;;;;;;;;
C11;39;Bazo o pajarilla de res;140;4,5 onzas aprox;150;0,0;25,6;4,2;1,4;1,1;0,3;368,2;0,0;0,0;0,0;12,6;414,4;119,0;600,6;30,8;62,4;3,0;0,2;0,0;87,1;0,0;0,0;0,0;0,0;0,1;0,5;11,8;1,5;0,1;5,6;8,0;64,4;;;;;;;;
C12;40;Callo o panza de res;155;5 onzas;150;0,0;22,6;6,2;3,2;2,0;0,1;147,3;0,0;0,0;0,0;14,0;122,5;71,3;418,5;12,4;3,1;3,8;0,1;0,1;71,2;0,1;0,0;0,0;0,0;0,0;0,3;0,2;0,9;0,1;3,1;2,4;4,7;;;;;;;;
C13;41;Corazon de res;105;3,5 onzas;150;2,7;18,0;4,0;1,2;0,9;1,0;147,0;0,0;0,0;0,0;2,1;181,7;66,2;279,3;24,2;4,8;2,5;0,4;0,0;23,1;0,2;0,0;1,1;0,0;0,2;1,1;10,0;2,4;0,5;2,1;14,3;6,3;;;;;;;;
C14;42;Higado de res;105;3,5 onzas;150;6,1;21,0;4,1;1,6;0,5;0,9;371,7;0,0;0,0;0,0;6,3;333,9;76,7;339,2;20,0;7,1;4,1;3,5;0,0;43,4;0,7;109,2;16,8;11028,2;0,3;2,9;13,4;8,0;1,0;260,4;72,7;23,1;;;;;;;;
C15;43;Lengua de res sin cartilago;55;2 onzas aprox.;150;2,0;8,2;8,9;3,9;4,0;0,5;47,9;0,0;0,0;0,0;3,3;73,2;38,0;173,3;8,8;1,7;1,6;0,1;0,3;5,2;0,0;0,0;0,9;0,0;0,1;0,2;2,3;0,4;0,2;3,9;2,1;1,7;;;;;;;;
C16;44;Riñón de res sin venas grasas ni tejido conectivo;115;4 onzas;150;2,5;19,1;3,6;1,1;0,8;0,8;327,8;0,0;0,0;0,0;6,9;241,5;205,9;295,6;19,6;8,5;2,1;0,5;0,0;171,1;0,2;0,0;36,8;67,9;0,4;2,9;9,2;4,2;0,6;92,0;31,1;10,4;;;;;;;;
C17;45;Ubre de res;55;2 onzas aprox.;150;0,0;8,5;10,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,5;88,0;0,0;0,0;0,0;1,4;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,7;0,0;0,0;0,0;0,0;0,0;;;;;;;;
C18;46;Carne de ternera todos los cortes magra;135;3,5 onzas;150;0,0;27,3;3,9;1,2;1,2;0,4;112,1;0,0;0,0;0,0;20,3;284,9;116,1;442,8;33,8;1,2;4,4;0,2;0,0;11,6;0,4;0,0;0,0;0,0;0,1;0,4;10,5;1,9;0,6;17,6;1,9;0,0;;;;;;;;
C19;47;Ternera todos los cortes, grasa aprox.7 %;55;2 onzas aprox.;150;0,0;16,6;6,3;2,4;2,4;0,4;62,7;0,0;0,0;0,0;12,1;131,5;47,9;178,8;14,3;0,7;2,6;0,1;0,0;4,7;0,1;0,0;0,0;0,0;0,0;0,2;4,4;0,7;0,2;8,3;0,9;0,0;;;;;;;;
C20;48;Chuleta de ternera grasa aprox.9 %;60;2 onzas  ;150;0,0;11,3;5,4;2,2;2,1;0,4;49,2;0,0;0,0;0,0;7,8;110,4;53,4;174,0;13,2;0,5;1,9;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;4,0;0,7;0,3;7,2;0,8;0,0;;;;;;;;
C21;49;Chuleta de ternera, magra;75;2 1/2 onzas;150;0,0;15,0;2,9;0,9;0,9;0,3;62,3;0,0;0,0;0,0;10,5;145,5;71,3;229,5;17,3;0,7;2,6;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;5,3;0,9;0,3;9,8;1,0;0,0;;;;;;;;
