;;;;;Energia;Macronutrientes;;;A.G. Saturados;A.G. Insaturados;;;Fibra   ;;;Macrominerales;;;;;Oligoelementos;;;;;Vit. Liposolubles;;;;Vit. Hidrosolubles;;;;;;;;Verificacion;;;;;;;
Grupo alimentario;#;Alimento;Cantidad(g/mL);Medida casera;Kcal;CHO(g);Proteina(g);Grasa(g);A.G.S(g);A.G.M(g);A.G.P(g);Colesterol (mg);Fibra soluble;Fibra insoluble;Fibra total;Calcio(Ca)(mg);Fosforo(P)(mg);Sodio(Na)(mg);Potasio(K)(mg);Magnesio(Mg)(mg);Hierro(Fe)(mg);Zinc(Zn) (mg);Cobre(Cu)(mg);Manganeso(Mn)(mg);Selenio(Se)(mcg);Vit. E(mg);Vit.K(mcg);Vit.D(UI);Vit.A(ER); Vit.B1(mg);Vit.B2(mg);Vit.B3(mg);Vit.B5(mg);Vit.B6(mg);Vit.B9(mcg);Vit.B12(mcg);Vit.C(mg);Aprobado;;;;;;;
PTR5;325;Papa con cascara;130;1 unidad grande;91;21,23;2,09;0,11;0;0;0;0;0;0;1,76;4,4;28,6;6,6;597,3;0;1,21;0;0;0;0,33;0,07;0;0,00;0;0,09;0,1;1,1;0;0;0;0,00;22;;;;;;;;
PTR6;326;Papa criolla con cascara;135;6 unidades pequeñas;91;20,57;2,75;0,11;0;0;0;0;0;0;1,1;7,7;59,4;0;0;0;0,66;0;0;0;0;0;0;0,00;2,2;0,09;0,07;2,75;0;0;0;0,00;16,5;;;;;;;;
PTR7;327;Yuca blanca;75;1 trozo mediano;91;20,1;0,48;0,06;0;0;0;0;0;0;0;16,2;21;0;0;0;0,24;0;0;0;0;0;0;0,00;0,6;0,02;0,02;0,3;0;0;0;0,00;18;;;;;;;;
PTR8;328;Papas a la francesa congeladas sin prepar.;65;1 porcion pequeña;91;13,75;1,43;3,58;1,69;1,44;0,27;0;0;0;1,65;3,3;35,2;12,65;185,9;8,8;0,55;0,17;0,07;0,12;0,17;0,1;0;0,00;0;0,06;0,01;0,99;0,3;0,1;8,25;0,00;5,5;;;;;;;;
PTR9;329;Papa deshidratada para pure sin leche;30;2 y 1/2 cucharadas;91;20,7;2;0,15;0,04;0;0,07;0;0;0;1,73;8,75;57;34,25;165,5;24,5;0,28;0,22;0,03;0;6,58;0,07;0;0,00;0;0,17;0,03;1,5;0,09;0;10;0,00;21;;;;;;;;
PTR10;330;Coli o guineo verde pulpa;95;1 unidad grande;91;23,6;1,36;0,08;0;0;0;0;0;0;0,32;3,2;30,4;0;0;0;0,24;0;0;0;0;0;0;0,00;12,8;0,03;0,02;0,32;0;0;0;0,00;12;;;;;;;;
PTR11;331;Dominico verde pulpa;80;1/2 unidad;91;24,31;0,78;0,07;0;0;0;0;0;0;0,46;3,25;20,15;0;0;0;0,33;0;0;0;0;0;0;0,00;65;0,05;0,02;0,39;0;0;0;0,00;13;;;;;;;;
PTR12;332;Harton verde pulpa;75;1/2 unidad pequeña;91;24,57;0,78;0,13;0;0;0;0;0;0;1,5;2,6;25,35;2,6;324,35;24,05;0,33;0,09;0,05;0;0,98;0,18;0;0,00;68,9;0,04;0,03;0,33;0,17;0,2;14,3;0,00;13;;;;;;;;
PTR13;333;Harton maduro pulpa;80;5 tajadas pequeñas;91;23,6;0,72;0,13;0;0;0;0;0;0;1,5;3,25;19,5;0;0;0;0,33;0;0;0;0;0;0;0,00;35,1;0,05;0,02;0,33;0;0;0;0,00;9,75;;;;;;;;
PTR14;334;Platano popocho verde;85;1 unidad;91;23,72;0,85;0,17;0;0;0;0;0;0;0,85;5,1;34;0;0;0;0,34;0;0;0;0;0;0;0,00;11,9;0,03;0,03;0,43;0;0;0;0,00;17;;;;;;;;
PTR15;335;Harina de platano casera;30;3 cucharadas;91;21,88;0,93;0,05;0;0;0;0;0;0;0;2,5;17,5;0;0;0;0,3;0;0;0;0;0;0;0,00;7,5;0,02;0,01;0,25;0;0;0;0;1,25;;;;;;;;
;;;;Promedio;91;21,38;1,35;0,35;0,12;0,10;0,04;0,00;0,23;0,18;1,48;7,46;33,09;5,34;178,19;6,95;0,60;0,09;0,05;0,04;0,61;0,05;0,21;0,00;121,97;0,07;0,04;0,98;0,11;0,07;5,09;0,00;13,77;;;;;;;;
GR1;336;Aceite de maiz;5;1 cucharadita;45;0;0;5;0,64;1,21;2,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0;Aprobado;;;;;;;
GR2;337;Aceite de ajonjoli;5;1 cucharadita;45;0;0;5;0,71;1,99;2,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;;;;;;;;
GR3;338;Aceite de cartamo;5;1 cucharadita;45;0;0;5;0,46;0,61;3,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,35;0;0;0;0;0;0;0;0;0;0;;;;;;;;
GR4;339;Aceite de girasol;5;1 cucharadita;45;0;0;5;0,52;0,98;3,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
GR5;340;Aceite de mani;5;1 cucharadita;45;0;0;5;0,85;2,31;1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
GR6;341;Aceite de oliva;5;1 cucharadita;45;0;0;5;0,68;3,69;0,42;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;2,9;0;0;0;0;0;0;0;0;0;0;;;;;;;;
GR7;342;Aceite de palma(pulpa o mesocarpio);5;1 cucharadita;45;0;0;5;2,47;1,85;0,47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;;;;;;;;
GR8;343;Aceite semilla de palma (der del endocarpio);5;1 cucharadita;45;0;0;5;4,07;0,57;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
GR9;344;Aceite de soya;5;1 cucharadita;45;0;0;5;0,72;1,17;2,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;
GR10;345;Aguacate pulpa;30;1 tajada delgada;45;2,22;0,6;4,59;0,73;2,88;0,59;0;0;0;1,17;3,3;12,3;3;179,7;11,7;0,3;0,13;0,08;0,07;0;0;0;0;18,3;0,03;0,04;0,57;0,29;0,08;18,6;0;0;;;;;;;;
GR11;346;Crema de leche liquida espesa;15;3 cucharaditas;45;0,42;0,32;5,55;3,45;1,6;0,22;20,55;0;0;0;9,75;9,3;5,7;11,25;1,05;0;0,03;0;0;0,08;0,09;0,2;7,8;63,15;0;0,02;0;0,04;0;0,6;0,03;0;;;;;;;;
GR12;347;Mantequilla con sal;5;1 cucharadita;45;0,01;0,05;4,06;2,52;1,17;0,15;10,95;0;0;0;1,2;1,15;41,3;1,3;0,1;0,01;0;0;0;0,05;79;0;2,8;37,7;0;0;0;0;0;0,15;0;0;;;;;;;;
GR13;348;Margarina durra en barra sin sal;5;1 cucharadita;45;0,03;0,03;4,02;0,75;1,84;1,25;0;0;0;0;0,85;0,65;0,1;1,25;0,1;0;0;0;0;0;0;0;0;49,65;0;0;0;0;0;0,05;0;0;;;;;;;;
GR14;349;Margarina durra en barra con sal;5;1 cucharadita;45;0,05;0,05;4,03;0,79;1,79;1,27;0;0;0;0;1,5;1,15;47,15;2,1;0,15;0,01;0;0;0;0;640;0;0;49,65;0;0;0;0;0;0,05;0,01;0;;;;;;;;
GR15;350;Margarina suave en pote sin sal;5;1 cucharadita;45;0,05;0,04;4,02;0,69;1,87;1,29;0;0;0;0;1,35;1;1,4;1,9;0,1;0;0;0;0;0;435;0;0;49,65;0;0;0;0;0;0,05;0;0;;;;;;;;
GR16;351;Margarina suave en pote con sal;5;1 cucharadita;45;0,03;0,04;4,02;0,69;1,43;1,73;0;0;0;0;1,35;1;53,95;1,9;0,1;0;0;0;0;0;0;0;0;49,65;0;0;0;0;0;0,05;0;0;;;;;;;;
GR17;352;Mayonesa comercial(aceite de soya);5;1 cucharadita;45;0,14;0,06;3,97;0,59;1,14;2,07;2,95;0;0;0;0,9;1,4;28,4;1,7;0;0,03;0,01;0;0;0,09;589,5;0;0;0;0;0;0;0;0;0,65;0,02;0;;;;;;;;
GR18;353;Tocineta;10;2 tiras delgadas;45;0,01;0,87;5,75;2,13;2,63;0,68;6,7;0;0;0;0,7;14,2;68,5;13,9;0,9;0,06;0,12;0,01;0;2,5;0,05;0;0;0;0,04;0,01;0,28;0,04;0;0;0;0;;;;;;;;
GR19;354;Tocino de cerdo crudo;5;1 rebanada  ;45;0;0,24;3,84;1,4;1,79;0,41;4,65;0;0;0;0,15;2,75;0,9;4,7;0,1;0,02;0,03;0;0;0;0;0;0;0,15;0,01;0;0,08;0,01;0;0;0;0;;;;;;;;
GR20;355;Mantequilla de mani suave con sal;10;1 cucharadita;45;1,93;2,52;5,1;1,03;2,43;1,38;0;0;0;0;3,8;36,9;46,7;66,9;15,9;0,18;0,29;0,01;0,05;0;1;0,01;0;0;0,01;0,01;1,34;0,08;0,05;7,4;0;0;;;;;;;;
GR21;356;Mantequilla de manii gruesa con sal;10;1 cucharadita;45;2,16;2,41;4,99;0,96;2,36;1,42;0;0;0;0;4,1;31,7;48,6;74,7;15,9;0,19;0,28;0,05;0,19;0;0;0;0;0;0,01;0,01;1,37;0,1;0,05;9,2;0;0;;;;;;;;
;;;;Promedio;45;0,34;0,34;4,71;1,28;1,78;1,43;2,18;0,00;0,00;0,06;1,38;5,40;16,46;17,20;2,20;0,04;0,04;0,01;0,01;0,13;83,08;0,71;0,50;15,14;0,00;0,00;0,17;0,03;0,01;1,75;0,00;0,00;;;;;;;;
EDU1;357;Azucar en polvo;20;2 cucharadas soperas  ;80;19,9;0;0,02;0;0,01;0;0;0;0;0;0,2;0,4;0,2;0,4;0;0,02;0,01;0,01;0;0,12;0;0;0;0;0;0;0;0;0;0;0;0;Revisado;;;;;;;
EDU2;358;Azucar granulada;20;2 cucharadas soperas;80;19,98;0;0;0;0;0;0;0;0;0;0,2;0,4;0,2;0,4;0;0,02;0,01;0,01;0;0,12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
EDU3;359;Azucar morena;20;2 cucharadas soperas;80;19,28;0;0;0;0;0;0;0;0;0;17;3,8;6;68,8;0;0,68;0;0,08;0;0,24;0;0;0;0;0;0,01;0,04;0;0;0;0;0;;;;;;;;
EDU4;360;Miel de abejas;25;2 cucharadas soperas;80;19,95;0,15;0,05;0;0;0;0;0;0;0;6,25;2,5;1,25;12,75;0,75;0,2;0,02;0,01;0;0,2;0;0;0;0;0;0,01;0,08;0,05;0,01;0,75;0;0;;;;;;;;
EDU5;361;Panela;25;2 cucharadas soperas;80;21,5;0,13;0,25;0;0;0;0;0;0;0;33,5;15;20,5;41,75;22;0,6;0,7;0;0;0;0;0;0;0;0,01;0,02;0,08;0;0;0;0;0,75;;;;;;;;
;;;;Promedio;80;20,12;0,06;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,43;4,42;5,63;24,82;4,55;0,30;0,15;0,02;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,01;0,04;0,01;0,00;0,15;0,00;0,15;;;;;;;;
DUL1;362;Bocadillo de guayaba y azucar;30;1 unidad;92;23,7;0,09;0,03;0;0;0;0;0;0;0;7,5;5,1;0;0;0;0,36;0;0;0;0;0;0;0;1,2;0,01;0,01;0,3;0;0;0;0;24;Aprobado;;;;;;;
DUL2;363;Gelatina saborizada con azucar;25;5 cucharadas;92;22,18;2,35;0;0;0;0;0;0;0;0;0;0;79,5;0;8,25;0;0;0,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
DUL3;364;Gelatina sin sabor;25;5 cucharadas;92;0;2,13;0,03;0,02;0,02;0;0;0;0;0;13,75;9,75;49;4;5,5;0,28;0,04;0,54;0,03;9,88;0;0;0;0;0,01;0,06;0,03;0,03;0;7,5;0;0;;;;;;;;
DUL4;365;Gelatina endulzada apartame;25;5 cucharadas;92;8,33;1,38;0;0;0;0;0;0;0;0;0,5;32,25;541,25;3,5;0,25;0;0,02;0,26;0,01;0;0;0;0;0;0;0,03;0;0,02;0,01;3,5;0;0;;;;;;;;
DUL5;366;Caramelos;25;5 cucharadas;92;19,25;1,15;2,03;1,65;2,21;0,05;1,75;0;0;0;34,5;28,5;61,25;0,54;4,25;0,03;0,11;0,01;0;0,45;0,12;0;0;2;0;0,01;0,08;0,15;0,01;1,25;0;0,25;;;;;;;;
DUL6;367;Cocoa baja en grasa;50;5 cucharadas;92;29;10,1;3,95;0;0;0;0;0;0;0;76,5;376;3;761;210;5,35;2,8;1,8;0;0;0;0;0;0,5;0,06;0,23;1,2;0;0;0;0;0;;;;;;;;
DUL7;368;Chocolatina;20;1 barra pequeña;92;11,38;1,54;6,46;0;0;0;0;0;0;0;45,6;46,2;18,8;76,8;11,6;0,22;0,1;0,1;0;0;0;0;0;0;0,01;0,07;0,06;0,02;0;1,4;0;0;;;;;;;;
DUL8;369;Chocolatina con almendras;25;1 barra pequeña;92;7,7;1,4;5,34;0;0;0;0;0;0;0;34,35;40,8;12;66,3;0;0,24;0;0;0;0,6;283,5;0;0;0;0,01;0,06;0,12;0;0;0;0;0;;;;;;;;
DUL9;370;Chocolatina con mani;20;1 barra pequeña;92;6,69;2,12;5,72;0;0;0;0;0;0;0;26,1;44,1;9,9;73,05;0;0,21;0;0;0;0;0;0;0;0;0,04;0,04;0,75;0;0;0;0;0;;;;;;;;
DUL10;371;Chocolatina con leche;15;1/2 barra pequeña;92;11,82;1,38;6,14;3,7;1,99;0,21;4,4;0;0;0;38,2;0,43;16,4;77;12;0,28;0,28;0,08;0,06;0;0;0;0;11;0,16;0,06;0,06;0,08;0,01;1,6;0;0;;;;;;;;
DUL11;372;Chocolatina con cereal de arroz;20;1/2 barra pequeña;92;12,68;1,26;5,3;3,18;1,73;0,16;0;0;0;0;34,2;38,6;29;68,6;9,8;0,16;22,4;0,06;0,06;1,1;217,4;0;0;2;0,01;0,06;0,1;0,12;0,01;1,8;0;0;;;;;;;;
DUL12;373;Ciruelas pasas;20;4 unidades;92;25,08;1,04;0,2;0,02;0,14;0;0;0;0;0;20,4;31,6;1,6;298;18;1;0,21;0,17;0,09;0;0;0;0;79,6;0,03;0,06;0,8;0,18;0,1;1,6;0;1,2;;;;;;;;
DUL13;374;Cocadas de panela;25;1 unidad;92;20,48;0,4;2,05;0;0;0;0;0;0;0;1,75;19,5;0;0;0;0,63;0;0;0;0;0;0;0;0;0,01;0,02;0,1;0;0;0;0;0;;;;;;;;
DUL14;375;Cucas;40;2 unidades;92;20,48;2,08;0,75;0;0;0;0;0;0;0;2;13,5;0;0;0;0,1;0;0;0;0;0;0;0;0;0,01;0,01;0,08;0;0;0;0;0;;;;;;;;
DUL15;376;Flan de caramelo;25;2 cucharadas;92;22,9;0;0;0;0;0;0;0;0;0;6;0,25;108;38,25;0;0,03;0,01;0,01;0;0,2;0,02;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
DUL16;377;Galletas wafers;25;4 unidades;92;13,56;1,2;3,9;0;0;0;0;0;0;0;25;10;50,4;14,4;0;0,46;0;0;0;1,14;313;0;0;0;0,03;0,03;0,36;0;0;0;0;4,4;;;;;;;;
DUL17;378;Gelatina de pata;20;1 unidad;92;21,78;2,49;0;0;0;0;0;0;0;0;19,8;8,7;0;0;0;1,2;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0;;;;;;;;
DUL18;379;Helado de agua;20;1 unidad;92;23,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
DUL19;380;Helado de vainilla suave;30;1/2 vaso pequeño;92;14,04;2,28;3,54;2,06;1,06;0,21;16,2;0;0;0;89,4;81;53,4;98,4;9;0,12;0,33;0,01;0,01;1,56;0;0;4,8;30;0,03;0,15;0,18;0,16;0,04;3;0,12;0,6;;;;;;;;
DUL20;381;Jalea de fruta;35;1/2 vaso pequeño;92;24,78;0,14;0,04;0,01;0,01;0,02;0;0;0;0;2,8;1,75;12,6;22,4;2,1;0,07;0,01;0,01;0,05;0,7;0;0;0;0,7;0;0,01;0;0,07;0,01;0;0;0,35;;;;;;;;
DUL21;382;Leche condensada;60;3 cucharadas;92;16,44;2,43;2,52;1,65;0,73;0,1;10,2;0;0;0;81;69;38,1;111,3;7,8;0,06;0,28;0;0;0;0;0;0;28,8;0,02;0,12;0,06;0,23;0,02;3,3;0,13;0,3;;;;;;;;
DUL22;383;Manjar blanco comercial;35;2 cucharadas;92;22,71;1,83;0,09;0;0;0;0;0;0;0;57;57,3;0;0;0;0,12;0;0;0;0;0;0;0;0,6;0,01;0,09;0,66;0;0;0;0;0;;;;;;;;
DUL23;384;Mantecada;30;1 tajada delgada;92;14;1,98;4,08;0;0;0;0;0;0;0;22;10,25;0;0;0;0,38;0;0;0;0;0;0;0;1;0,01;0,03;0,13;0;0;0;0;0;;;;;;;;
DUL24;385;Masmelos;30;6 unidades;92;24,12;0,6;0;0;0;0;0;0;0;0;5,4;1,8;11,7;1,8;1,2;0,48;0,01;0,06;0;0,57;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
DUL25;386;Mermelada;25;1 unidad;92;24,68;0,18;0,11;0;0;0;0;0;0;0;4,2;4,2;4,9;11,55;0;0,11;0;0;0;0,7;0;0;0;0,01;0,01;0,07;0;0;0;0;0;0;;;;;;;;
DUL26;387;Panelitas de leche de vaca;30;1 unidad;92;20,75;0,73;0,45;0;0;0;0;0;0;0;33,5;20;0;0;0;0,2;0;0;0;0;0;0;0;1,5;0;0,06;0;0;0;0;0;0;;;;;;;;
DUL27;388;Ponque;35;1 tajada delgada;92;11,08;1,33;4,83;0;0;0;0;0;0;0;22,75;28;0;0;0;0,28;0;0;0;0;0;0;0;1;0,02;0,02;0,05;0;0;0;0;0;;;;;;;;
DUL28;389;Uvas pasas sin semilla;25;2 cucharadas;92;23,73;0,96;0,15;0,05;0,01;0,04;0;0;0;0;14,7;29,1;3,6;225,3;9,9;0,63;0,08;0,09;0,09;0;0;0;0;0,3;0,05;0,03;0,24;0,02;0,08;0,9;0;0,9;;;;;;;;
;;;;Promedio;92;17,76;1,59;2,06;0,44;0,28;0,03;1,16;0,00;0,00;0,00;25,68;35,99;39,44;69,72;11,06;0,47;0,95;0,12;0,01;0,60;29,07;0,00;0,17;5,72;0,02;0,05;0,19;0,04;0,01;0,92;0,01;1,14;;;;;;;;
BE1;390;Café infusion;120;4 onzas;2;0,48;0;0;0;0;0;0;0;0;0;2,4;1,2;2,4;64,8;6;0;0,02;0,01;0,04;0,12;0;0;0;0;0;0;0;0;0;0;0;0;Aprobado;;;;;;;
BE2;391;Gaseosa tipo cola;180;6 onzas;74;18,72;0;0;0;0;0;0;0;0;0;5,4;21,6;7,2;1,8;1,8;0;0,02;0,02;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BE3;392;Café instantaneo en polvo;5;1 cucharadita;12;2,06;0,61;0,03;0,01;0;0,01;0;0;0;0;7,05;15,15;1,85;176,75;16,35;0,22;0,02;0,01;0,09;0,63;0;0;0;0;0;0;1,41;0,01;0;0;0;0;;;;;;;;
BE4;393;Café instantaneo sin cafeina en polvo;5;1 cucharadita;11;2,13;0,58;0,01;0,01;0;0,01;0;0;0;0;7;14,3;1,15;175,05;15,55;0,19;0,01;0;0,06;0,6;0;0;0;0;0;0;1,41;0,01;0;0;0;0;;;;;;;;
BE5;394;Café descafeinado infusion;120;4 onzas;2;0,48;0;0;0;0;0;0;0;0;0;2,4;1,2;2,4;64,8;6;0,18;0,02;0,01;0,04;0,12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BE6;395;Gaseosa azucarada;180;6 onzas;88;19,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,18;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BE7;396;Gaseosa tipo cola aspartame con cafeina;180;6 onzas;2;0,18;0,18;0;0;0;0;0;0;0;0;7,2;16,2;10,8;0;1,8;0;0,14;0,02;0,07;0,18;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BE8;397;Gaseosa con aspartame sin cafeina;180;6 onzas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BE9;398;Bebida de sabor a limon en polvo con ac. ascorbico;180;6 onzas;697;177,84;0,18;0,36;0,29;0,04;0,05;0;0;0;0;149,4;16,2;75,6;5,4;1,8;0,18;0,09;0,09;0;0;0;0;0;0;0;0,02;0;0;0;0;0;210,6;;;;;;;;
BE10;399;Bebida de sabor a naranja en polvo con ac. Ascorbico;180;6 onzas;659;179,1;0;0;0;0;0;0;0;0;0;664,2;304,2;14,4;342;0;0,18;0,07;0,02;0,09;0;0;0;0;0;0;1,22;14,4;0;1,44;0;0;432;;;;;;;;
BE11;400;Malta;200;7 onzas;120;26,8;0,6;0,2;0,04;0,04;0,12;0;0;0;0;10;44;26;16;14;0;0,04;0,02;0,02;0;0;0;0;0;0;0,1;2,2;0,08;0,06;28;0,04;2;;;;;;;;
BE12;401;Nectar de durazno;250;8 onzas;135;34,75;0,75;0;0;0,03;0,03;0;0;0;0;12,5;15;17,5;100;10;0,5;0,2;0,18;0,05;0;0;0;0;65;0,04;0,03;0,75;0;0;0;0;12,5;;;;;;;;
BE13;402;Nectar de pera;250;8 onzas;150;39,5;0,25;0;0;0;0;0;0;0;0;12,5;7,5;10;32,5;7,5;0,75;0,18;0,18;0,08;0;0;0;0;0;0;0,03;0,25;0;0;0;0;2,5;;;;;;;;
BE14;403;Pony malta;180;6 onzas;83;19,44;0,54;0;0;0;0;0;0;0;0;0;28,8;0;0;0;2,52;0;0;0;0;0;0;0;0;0;0,99;2,52;0;0;0;0;0;;;;;;;;
BE15;404;Te instantaneo en polvo sabor limon sin azucar;5;1 cucharadita;19;4,88;0,03;0,02;0;0;0;0;0;0;0;0,15;0,7;0,25;0,11;0,55;0,01;0,01;0;0,15;0,04;0;0;0;0;0,68;0,01;0,02;0,01;0;2,15;0;0;;;;;;;;
BE16;405;Te instantaneo en polvo ;5;1 cucharadita;13;2,85;0,59;0,02;0;0;0,01;0;0;0;0;2,75;22,1;6,5;329,8;18,15;0,2;0,16;0,04;3,7;0,27;0;0;0;0;0;0,03;0,63;0,18;0,04;5,15;0;0;;;;;;;;
BE17;406;Te infusion;180;6 onzas;2;0,54;0;0;0;0;0;0;0;0;0;0;1,8;5,4;66,6;5,4;0;0,04;0,02;0,4;0;0;0;0;0;0;0,02;0;0,02;0;9;0;0;;;;;;;;
BE18;407;Chocolate con azucar pastilla;20;1 pastilla;88;14,82;0,76;3,36;0;0;0;0;0;0;0;9,2;30;0;0;0;0,56;0;0;0;0;0;0,09;0;0,4;0;0,02;0,1;0;0;0;0;0;;;;;;;;
BE19;408;Chocolate amargo en pastilla;20;1 pastilla;91;13,92;0,8;4,1;0;0;0;0;0;0;3,08;19,6;30;0,8;166;58,4;0,8;0,46;0,54;0;1,5;246;0;0;0,4;0,01;0,02;0,12;0,04;0,01;2,8;0;0;;;;;;;;
BE20;409;Chocolate bolas con panela;20;1 pastilla;79;15,16;0,84;2,04;0;0;0;0;0;0;0;7,4;21,2;0;0;0;0,8;0;0;0;0;0;0;0;0;0,01;0,09;0,44;0;0;0;0;0;;;;;;;;
BE21;410;Cocoa  ;5;n.n;11;2,72;0,98;0,69;0,4;0,23;0,02;0;0;0;1,66;6,4;36,7;1,05;76,2;24,95;0,7;0,34;0,19;0,19;0,72;0;0;0;0,1;0;0,01;0,11;0,01;0,01;1,6;0;0;;;;;;;;
;;;;Promedio;111;27,43;0,37;0,52;0,04;0,02;0,01;0,00;0,00;0,00;0,23;44,07;29,90;8,73;77,04;8,96;0,38;0,09;0,06;0,24;0,20;11,71;0,01;0,00;3,14;0,04;0,12;1,16;0,02;0,07;2,32;0,00;31,41;;;;;;;;
ALC1;411;Cerveza 4% alcohol;300;1 lata o botella;141;13,8;0,6;0;0;0;0;0;0;0;0;0;45;15;75;18;0,3;0,06;0,03;0,03;3,6;0;0;0;0;0;0,06;1,2;0,18;0,15;18;0,06;0;Aprobado;;;;;;;
ALC2;412;Vino de mesa blanco 9.3 alcohol;60;2 onzas;54;0,48;0,06;0;0;0;0;0;0;0;0;5,4;8,4;3;48;6;0,18;0,04;0,01;0,28;0,12;0;0;0;0;0;0,01;0,06;0,01;0,01;0;0;0;;;;;;;;
ALC3;413;Vino de mesa rojo 9.35% alcohol;60;2 onzas;53;1,02;0,12;0;0;0;0;0;0;0;0;10,8;8,4;3;67,2;7,8;0,24;0,05;0,01;0,36;0,12;0;0;0;0;0,01;0,02;0,06;0,02;0,02;1,2;0,01;0;;;;;;;;
ALC4;414;Vino de mesa rosado 9.3% alcohol;60;2 onzas;53;0,84;0,12;0;0;0;0;0;0;0;0;4,8;9;3;59,4;6;0,24;0,04;0,02;0,07;0,12;0;0;0;0;0;0;0,06;0,02;0,01;0,6;0,01;0;;;;;;;;
;;;;Promedio;75;4,04;0,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,25;17,70;6,00;62,40;9,45;0,24;0,05;0,02;0,19;0,99;0,00;0,00;0,00;0,00;0,00;0,02;0,35;0,06;0,05;4,95;0,02;0,00;;;;;;;;
CAL1;415;Caldo de res en cubo;5;1/2 unidad;9;0,81;0,87;0,2;0,1;0,08;0,01;0,2;0;0;0;0;11,25;1200;20,15;2,5;0,11;0,01;0;0,02;0;0;0;0;0;0,01;0,01;0,17;0;0;0;0;0;Aprobado;;;;;;;
CAL2;416;Caldo de gallina en cubo;5;1/2 unidad;10;1,18;0,73;0,24;0,06;0,1;0,08;0,65;0;0;0;0;9,55;1200;18,7;2,8;0,1;0,01;0;0,02;0;0;0;0;0;0,01;0,02;0,2;0;0;0;0;0;;;;;;;;
;;;;Promedio;10;1,00;0,80;0,22;0,08;0,09;0,05;0,43;0,00;0,00;0,00;0,00;10,40;1200,00;19,43;2,65;0,11;0,01;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,19;0,00;0,00;0,00;0,00;0,00;;;;;;;;
CREM1;417;Crema de pollo deshidratada;10;1 cucharada sopera rasa;44;5,43;0,73;2,17;1,38;0,47;0,17;1,2;0;0;0,18;31;39;482;87,6;0;0;0;0;0;0;0,06;0;0;0;0;0,08;0;0;0;0;0;0;Aprobado;;;;;;;
CREM2;418;Crema de apio deshidratada;10;1 cucharada sopera rasa;44;6,71;1,8;1,12;0,17;0,48;0,42;0,36;0;0;0,32;0;0;577,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
CREM3;419;Crema de cebolla deshidratada;10;1 cucharada sopera rasa;44;8,03;1,74;0,9;0,21;0,52;0,1;0,75;0;0;1,56;21,15;48,6;1343,55;100,5;9,6;0,23;0,09;0,02;0,1;3,71;0,16;0;0;0,3;0,04;0,09;0,77;0;0;2,4;0;0,3;;;;;;;;
CREM4;420;Crema de coliflor deshidratada;10;1 cucharada sopera rasa;44;6,79;1,84;1,09;0,16;0,47;0,41;0,24;0;0;0;0;0;534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
CREM5;421; Crema de esparragos deshidratada;10;1 cucharada sopera rasa;44;6,7;1,66;1,3;0,19;0,56;0,49;0,12;0;0;0,29;0;0;597,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
